return_preset,transfer_policy,tax_scenario,seed,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
high_return_heterogeneity,lump_sum_only,flat,0,10.0,0.469442157767777,0.3843846994412723,0.10415296447291293,1361397893.3950145,211626350.55122596,1573024243.9462402,1361397893.3950143,1361397893.3950143,0.0,0.0,0.9999999999999998,0.0,0.0,0.0283,0.3280859031769485,0.2296601322238634,0.6596905495011418,0.12848783705147565,0.29999999999999993,0.29999999999999993,0.3,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.30000000000000004,0.29999999999999993,0.0261642959662725,0.0286512924212753,0.03205506385100212,0.03602532033029152,0.035560742988512015,0.036560747395468884,0.03966757149053065,0.041672199075244346,0.04036540902614074,0.04378461065303199,-0.00014154455030619394,0.039959196083956865,0.07976899330757864
high_return_heterogeneity,lump_sum_only,flat,0,11.0,0.4648852673790449,0.3796524828552765,0.10256287963956266,1361163497.4709404,225154013.40975505,1586317510.8806956,1361163497.4709406,1361163497.4709406,0.0,0.0,1.0000000000000002,0.0,0.0,0.0308,0.33127186672473186,0.2318903067073126,0.657230041320521,0.13609778169211412,0.3,0.3,0.3,0.30000000000000004,0.3,0.30000000000000004,0.3,0.30000000000000004,0.3,0.29999999999999993,0.025376779564314354,0.028622022636004354,0.031023643829378885,0.034432108839781844,0.036858962397191844,0.037537926753393444,0.03922260588162321,0.04395018027388946,0.04080201439961819,0.04493335860608391,-0.0004973873282764,0.040342953306821645,0.08045929449746504
high_return_heterogeneity,lump_sum_only,flat,0,12.0,0.46086367604902967,0.37545442667258294,0.10128492267439823,1367181518.5588248,235425420.66905624,1602606939.227881,1367181518.558825,1367181518.558825,0.0,0.0,1.0000000000000002,0.0,0.0,0.0299,0.3309559359878915,0.23166915519152398,0.6574629184742928,0.1412506800133564,0.29999999999999993,0.3,0.30000000000000004,0.3,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.024322673655512023,0.02743726041560123,0.031763897623658825,0.03403291272975993,0.03591477703695513,0.03658772554519159,0.03986143742148339,0.04378081958859724,0.04028099572347476,0.044651201659808126,-0.0003066046318948571,0.03966620091244019,0.07981000378394099
high_return_heterogeneity,lump_sum_only,flat,0,13.0,0.45765751096640583,0.3720690372574223,0.10045775852702299,1368548545.2374833,254170991.57628146,1622719536.8137648,1368548545.2374837,1368548545.2374837,0.0,0.0,1.0000000000000004,0.0,0.0,0.0278,0.32946775819107876,0.23062743073375502,0.6588671707498606,0.15057491582317528,0.3,0.3,0.3,0.3,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.30000000000000004,0.29999999999999993,0.2999999999999999,0.023771397983998993,0.027448042442904132,0.03144871793650229,0.03474416286342966,0.034663691776928,0.03778017454024354,0.04029953513394082,0.04467626267459812,0.04030466276725167,0.04584284627625239,-0.0005068008888023917,0.04022175118723485,0.07989211054516068
high_return_heterogeneity,lump_sum_only,flat,0,14.0,0.4551409055556155,0.36916729516836033,0.09961727569002723,1362075110.8989584,269212565.3480778,1631287676.247036,1362075110.8989584,1362075110.8989584,0.0,0.0,1.0,0.0,0.0,0.0312,0.33241642646724046,0.23269149852706827,0.6578755289674083,0.1591885265737224,0.3,0.30000000000000004,0.3,0.3,0.29999999999999993,0.3,0.29999999999999993,0.29999999999999993,0.3,0.3,0.022866984824900922,0.026223213760158452,0.030702890027134146,0.032078800614482664,0.034527033547959364,0.039119593114942064,0.041232410444996884,0.04452599446338171,0.0421389076798136,0.047281910593003434,-4.068528349751375e-05,0.039865434043333314,0.07994635455333966
high_return_heterogeneity,lump_sum_only,flat,0,15.0,0.45274312809545236,0.36618484667925544,0.09863220395368588,1371810584.1874824,280634651.706872,1652445235.8943543,1371810584.1874824,1371810584.1874824,0.0,0.0,1.0,0.0,0.0,0.0297,0.3342769538222652,0.2339938676755855,0.6505778104783071,0.163677551304936,0.3,0.3,0.29999999999999993,0.3,0.3,0.3,0.3,0.30000000000000004,0.30000000000000004,0.29999999999999993,0.02284949575669271,0.026750296578072694,0.03076093927478712,0.03225796760064341,0.03459940912725944,0.03819220631864776,0.041355311014848295,0.045344480625498444,0.043030522732935284,0.04700116154380975,0.0005651637140683755,0.040191905837086365,0.07895986747540792
high_return_heterogeneity,lump_sum_only,flat,0,16.0,0.45113755396475597,0.36402320153030104,0.0980469193036993,1376592307.217164,302003407.2153896,1678595714.4325538,1376592307.2171636,1376592307.2171636,0.0,0.0,0.9999999999999997,0.0,0.0,0.0278,0.33373774912941845,0.23361642439059294,0.656378386200245,0.17428852331772926,0.3,0.29999999999999993,0.3,0.3,0.3,0.3,0.29999999999999993,0.30000000000000004,0.3,0.3,0.02180636800823464,0.025437352731034302,0.0293084558920687,0.03239491501904857,0.03460830197962073,0.039778050863531804,0.042530624853788765,0.04473758638381391,0.04341288881901876,0.049118096351664746,9.306472824127024e-05,0.0402204425924772,0.08007592423044861
high_return_heterogeneity,lump_sum_only,flat,0,17.0,0.4499194071173247,0.3621109610911577,0.09748936246382735,1377784485.9906151,321464899.30492043,1699249385.2955358,1377784485.990615,1377784485.990615,0.0,0.0,0.9999999999999998,0.0,0.0,0.03,0.33619970903392415,0.2353397963237469,0.6565200758549672,0.1835165696500734,0.30000000000000004,0.3,0.29999999999999993,0.29999999999999993,0.3,0.3,0.3,0.3,0.30000000000000004,0.30000000000000004,0.0197065355398905,0.026233036086242688,0.02872890817363725,0.032721089467879945,0.034773366642677696,0.03872852240883761,0.043803039089004785,0.04591395078831132,0.04498504395278879,0.050157931152681766,0.0007766792073350062,0.04040400834393775,0.07990940568128939
high_return_heterogeneity,lump_sum_only,flat,0,18.0,0.4491560139302275,0.36060304964829404,0.09686245493956994,1373868420.9122446,335382309.77639973,1709250730.6886442,1373868420.912244,1373868420.912244,0.0,0.0,0.9999999999999997,0.0,0.0,0.0296,0.3355056604726514,0.23485396233085565,0.6569877465451057,0.19041571841784105,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.3,0.30000000000000004,0.3,0.3,0.3,0.01951727348638067,0.02482639075703561,0.02858089050023349,0.030685038701587487,0.034203475980963405,0.03922299573717935,0.0438878183123133,0.044611446156794264,0.044526533816220716,0.05153394881111258,3.225194234094709e-06,0.039749185245920075,0.08061344388753118
high_return_heterogeneity,lump_sum_only,flat,0,19.0,0.44889833048597416,0.3596893418548723,0.09687400758792536,1371306119.0503676,358887511.6623901,1730193630.7127576,1371306119.0503676,1371306119.0503676,0.0,0.0,1.0,0.0,0.0,0.0302,0.3346447552764562,0.2342513286935195,0.6638675858544174,0.20104154789589848,0.3,0.3,0.30000000000000004,0.3,0.3,0.30000000000000004,0.30000000000000004,0.3,0.3,0.3,0.018473346992156806,0.02399375365017245,0.028356108333619248,0.03110112367528086,0.0346169411381517,0.0409303101666876,0.042629153457087114,0.04433024311122517,0.0451182410850254,0.05133681176621783,7.321298485131643e-06,0.039848250638544816,0.08001120825996685
