return_preset,transfer_policy,tax_scenario,tax_system,calibrated_rate,first_year_revenue_difference,final_gini,final_disposable_income_gini,final_top_10_share,final_top_1_share,final_capital_income_share,final_transfer_spending_share,final_means_tested_recipient_share,final_unemployment_rate,shorrocks_index,rank_correlation,top_20_persistence,bottom_40_to_top_40,seed
high_return_heterogeneity,no_transfers,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.5243337448547363,0.2565235184041954,0.4187838500537085,0.1217327978806295,0.2605707001516849,0.0,0.0,0.0304,0.756375,0.6615499500154995,0.659,0.14875,0
high_return_heterogeneity,lump_sum_only,flat,flat,0.3,0.0,0.4631623239668934,0.237219246739925,0.3635112667527696,0.09882515544249064,0.30642904027901213,1.0000000000000004,0.0,0.0304,0.811875,0.5660444821404449,0.603,0.18925,0
high_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,0.33207943526635775,9.5367431640625e-07,0.4595607344639183,0.22307850679755914,0.3619250846849742,0.09867921530880303,0.30639306869202,0.9999999999999997,0.0,0.0304,0.81325,0.5669352474773524,0.603,0.18925,0
high_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.4538058301444463,0.19760181911518537,0.35982177122615167,0.09849147182472823,0.30633131591060914,1.0000000000000002,0.0,0.0304,0.812125,0.5691386131593862,0.606,0.1895,0
high_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.4485057687434997,0.17044553948380048,0.35809539205921515,0.09832654955967685,0.30626212228561617,1.0,0.0,0.0304,0.8105,0.5717496556014965,0.6115,0.191,0
high_return_heterogeneity,universal_plus_safety_floor,flat,flat,0.3,0.0,0.45935632370294566,0.20895130520098526,0.36290098335897575,0.09895140597624905,0.30604712417329843,1.0,0.3601,0.0304,0.807125,0.5715775878757758,0.604,0.1865,0
high_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,swedish,0.33207943526635775,9.5367431640625e-07,0.45586983717412566,0.19523719929593852,0.36133851279412926,0.09879199099579784,0.306043851439663,1.0,0.3517,0.0304,0.808875,0.5722138908341389,0.605,0.18725,0
high_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,swedish,0.34175190177455184,7.152557373046875e-07,0.4505693572688023,0.1713271124738378,0.35936176315467055,0.09858913991426972,0.3060265631422549,0.9999999999999999,0.3249,0.0304,0.806875,0.573836902382369,0.6075,0.1915,0
high_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,swedish,0.3133020939398697,-9.5367431640625e-07,0.4458988265062367,0.14646283119803094,0.35777967853834725,0.09841558922571297,0.3059914389299297,1.0,0.2884,0.0304,0.8085,0.5756287135762871,0.614,0.1885,0
low_return_heterogeneity,no_transfers,flat,flat,0.3,0.0,0.4762748566107684,0.33414330572126016,0.37188590847020475,0.10626697001594251,0.21749850738394177,0.0,0.0,0.0283,0.671375,0.7515877289198772,0.791,0.13525,1
low_return_heterogeneity,no_transfers,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.47350520341104385,0.31930360872377817,0.37227456889814126,0.10700043696800919,0.21606460893143156,0.0,0.0,0.0283,0.6655,0.7594541167545411,0.8005,0.131,1
low_return_heterogeneity,no_transfers,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.46875534388085804,0.2884227638064212,0.37428339560613594,0.1082376562170648,0.21382338875779192,0.0,0.0,0.0283,0.6465000000000001,0.7778010635900107,0.823,0.11825,1
low_return_heterogeneity,no_transfers,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.46414277906362456,0.2523815654409598,0.37680403922446865,0.10944412724061946,0.21171489797149037,0.0,0.0,0.0283,0.62375,0.8007346935993469,0.8485,0.1,1
low_return_heterogeneity,lump_sum_only,flat,flat,0.3,0.0,0.3988075815666594,0.23390031400488254,0.3193518886713119,0.0868669944053616,0.25788512384623485,1.0,0.0,0.0283,0.7115,0.6906550490225506,0.763,0.16075,1
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.39409847972354317,0.2201997460540428,0.3176499689243846,0.08679852539696235,0.2578479863637097,1.0,0.0,0.0283,0.711375,0.6954427439104275,0.7695,0.15675,1
low_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.3864126297057626,0.1946946254145252,0.3160123519885848,0.08672752407694048,0.2578064072024785,0.9999999999999999,0.0,0.0283,0.7092499999999999,0.7064913282569133,0.7825,0.14975,1
low_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.3791590990666014,0.16715577719748476,0.31502876255702306,0.08668108459245273,0.2577783355930308,1.0,0.0,0.0283,0.698375,0.7195102851431028,0.8025,0.1355,1
low_return_heterogeneity,universal_plus_safety_floor,flat,flat,0.3,0.0,0.3933285340514623,0.2059914664162794,0.31894321322819724,0.0869642429453059,0.2574450413318681,1.0000000000000004,0.3542,0.0283,0.69825,0.7076327064683271,0.7695,0.15325,1
low_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.3887449248988375,0.19267970364777431,0.3172717575447285,0.0868812320145201,0.2574443161573499,0.9999999999999998,0.3468,0.0283,0.6965,0.7120087322560873,0.7765,0.14975,1
low_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.3816282372222881,0.16869042082490582,0.3157235547585384,0.08679533477017932,0.25745406144860206,0.9999999999999999,0.3252,0.0283,0.691125,0.7218185879221858,0.7905,0.14025,1
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.37520411071232806,0.14339289166322478,0.3148468713127137,0.08673743357527462,0.2574701191837291,0.9999999999999999,0.2864,0.0283,0.684625,0.7329545421455455,0.807,0.12875,1
baseline_return_heterogeneity,no_transfers,flat,flat,0.3,0.0,0.4898498512445082,0.33414330572126016,0.3832626353401104,0.10852931619597755,0.22493499418381818,0.0,0.0,0.0283,0.69025,0.7184079834920798,0.7565,0.144,1
baseline_return_heterogeneity,no_transfers,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.4873493145800225,0.31930360872377817,0.3834957674659447,0.10929978711612354,0.2235503752327833,0.0,0.0,0.0283,0.689125,0.7254175100101751,0.7665,0.14,1
baseline_return_heterogeneity,no_transfers,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.48310289362514847,0.2884227638064212,0.38503526117415693,0.11059076036898684,0.22136655423980617,0.0,0.0,0.0283,0.67875,0.7410329391903294,0.782,0.127,1
baseline_return_heterogeneity,no_transfers,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.47904328974035804,0.2523815654409598,0.3872060358314055,0.11184167278500985,0.21930888342467417,0.0,0.0,0.0283,0.669,0.7599056620470566,0.796,0.1095,1
baseline_return_heterogeneity,lump_sum_only,flat,flat,0.3,0.0,0.4141672290642118,0.23390031400488254,0.3302923146114445,0.08895021992050041,0.2649766940137743,1.0,0.0,0.0283,0.738375,0.6528913336449133,0.7235,0.16725,1
baseline_return_heterogeneity,lump_sum_only,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.4097501616659187,0.2201997460540428,0.3284076738404796,0.08890342213021353,0.26496285507792955,1.0,0.0,0.0283,0.73725,0.6567636249396362,0.7305,0.1645,1
baseline_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.40259714133273383,0.1946946254145252,0.3263568582592882,0.08889004726889392,0.26494039455757323,0.9999999999999999,0.0,0.0283,0.73225,0.6654293170742932,0.741,0.158,1
baseline_return_heterogeneity,lump_sum_only,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.3959143952667128,0.16715577719748476,0.32500275470316853,0.088877236314843,0.26492719848278196,1.0,0.0,0.0283,0.7295,0.6754188106301882,0.7515,0.1485,1
baseline_return_heterogeneity,universal_plus_safety_floor,flat,flat,0.3,0.0,0.4090290211474259,0.2059914664162794,0.3298014463775821,0.08906160916379052,0.2645259766474997,1.0000000000000004,0.3542,0.0283,0.7282500000000001,0.6661486938614869,0.729,0.16025,1
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.40473665547396553,0.19267970364777431,0.32793389933805783,0.08901003851874366,0.264548219604472,0.9999999999999998,0.3468,0.0283,0.72775,0.6697182460331825,0.7355,0.15575,1
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.39813487701570516,0.16869042082490582,0.32597536480101574,0.08897941276151343,0.2645773823276302,0.9999999999999999,0.3252,0.0283,0.72675,0.6773305614893056,0.7435,0.1505,1
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,swedish,0.3164182280030343,2.384185791015625e-07,0.392243134235168,0.14339289166322478,0.3247555115168741,0.08895428500491163,0.2646091811209245,0.9999999999999999,0.2864,0.0283,0.7253750000000001,0.685723901429239,0.756,0.14325,1
high_return_heterogeneity,no_transfers,flat,flat,0.3,0.0,0.5335020923431679,0.33414330572126016,0.41820854374798494,0.12025630394512367,0.2662177237619295,0.0,0.0,0.0283,0.7747499999999999,0.6286143420221434,0.642,0.1675,1
high_return_heterogeneity,no_transfers,swedish_low_progressivity,swedish,0.3327589646122455,-7.152557373046875e-07,0.5317704809390753,0.31930360872377817,0.41825473699725574,0.12109227255133465,0.2648758079409593,0.0,0.0,0.0283,0.772,0.6332941201409412,0.6495,0.1645,1
high_return_heterogeneity,no_transfers,swedish_baseline_progressivity,swedish,0.34342107922159393,0.0,0.5288815880861155,0.2884227638064212,0.4192655897747785,0.12249291610446418,0.26273588484373633,0.0,0.0,0.0283,0.768375,0.6427419565274196,0.6575,0.158,1
