decomposition,scenario,wealth_gini_difference_vs_baseline,top_10_share_difference_vs_baseline,top_1_share_difference_vs_baseline,disposable_income_gini_difference_vs_baseline,shorrocks_difference_vs_baseline,top_20_persistence_difference_vs_baseline,seed
homogeneous_returns,swedish_baseline_progressivity,-0.01697756536573336,-0.010415724254329795,-0.0018109270905366515,0.0,-0.03787499999999999,0.044499999999999984,1
homogeneous_saving_rates,swedish_baseline_progressivity,-0.0215630815293979,-0.003406990150983391,-0.0004099951750236447,0.0,-0.030249999999999888,0.041000000000000036,1
no_capital_tax,swedish_baseline_progressivity,0.03151942580548339,0.024337699335517105,0.008490094189437122,0.0,0.01287499999999997,-0.025000000000000022,1
baseline,swedish_high_progressivity,0.0,0.0,0.0,0.0,0.0,0.0,1
no_transfers,swedish_high_progressivity,0.08664914988014427,0.06243917176113639,0.022879973326164038,0.11368881544141107,-0.056499999999999995,0.04150000000000009,1
homogeneous_returns,swedish_high_progressivity,-0.01753320419589799,-0.010088246861684635,-0.0018315049950266699,0.0,-0.04237500000000005,0.05700000000000005,1
homogeneous_saving_rates,swedish_high_progressivity,-0.02272805367313957,-0.0028919212071545908,-0.0003992984017489737,0.0,-0.047125000000000083,0.044500000000000095,1
no_capital_tax,swedish_high_progressivity,0.03275393846047203,0.024471819348198087,0.00850797946665069,0.0,0.01474999999999993,-0.029999999999999916,1
baseline,flat,0.0,0.0,0.0,0.0,0.0,0.0,2
no_transfers,flat,0.07911223185352134,0.05218668870259219,0.018196847248656625,0.13329511362654256,-0.044875,0.03249999999999997,2
homogeneous_returns,flat,-0.013635597889501305,-0.008708977834638199,-0.0006776954132153429,0.0,-0.03187499999999999,0.041999999999999926,2
homogeneous_saving_rates,flat,-0.019900389619575742,-0.005272744074668767,-0.0004122924093197533,0.0,-0.04162500000000002,0.03649999999999998,2
no_capital_tax,flat,0.02860022741849666,0.021871440524440455,0.007852361445147421,0.0,0.014874999999999972,-0.025000000000000022,2
baseline,swedish_baseline_progressivity,0.0,0.0,0.0,0.0,0.0,0.0,2
no_transfers,swedish_baseline_progressivity,0.0825627876555064,0.056979132775938746,0.02010000355596521,0.12479883405505787,-0.04775000000000018,0.038999999999999924,2
homogeneous_returns,swedish_baseline_progressivity,-0.014191519843414158,-0.007793282248142019,-0.0005861540887447531,0.0,-0.028249999999999997,0.04799999999999993,2
homogeneous_saving_rates,swedish_baseline_progressivity,-0.02159584933466463,-0.00350811544389229,-0.0002319940677933119,0.0,-0.044499999999999984,0.04499999999999993,2
no_capital_tax,swedish_baseline_progressivity,0.030691105795282114,0.02263447891624404,0.007873682872818213,0.0,0.02499999999999991,-0.034500000000000086,2
baseline,swedish_high_progressivity,0.0,0.0,0.0,0.0,0.0,0.0,2
no_transfers,swedish_high_progressivity,0.08380878474346876,0.059878392093057675,0.02117328269326889,0.11409293426714595,-0.05525000000000002,0.04749999999999999,2
homogeneous_returns,swedish_high_progressivity,-0.014591258526258644,-0.00732649586774331,-0.0005891591071477548,0.0,-0.03662500000000002,0.058499999999999996,2
homogeneous_saving_rates,swedish_high_progressivity,-0.022658936454947654,-0.0028001204087980125,-0.0002125866039384139,0.0,-0.05212499999999998,0.04849999999999999,2
no_capital_tax,swedish_high_progressivity,0.03186748693554131,0.0228339792745349,0.007888141616009314,0.0,0.02675000000000005,-0.038000000000000034,2
