scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
swedish_baseline_progressivity,11.0,0.4385685997197948,0.3650234168911075,0.0948351087517318,1516852384.381392,214511602.37446624,1731363986.7558584,1731363986.755858,0.3076620458488575,0.1697941290472682,0.5248252188299767,0.13136238863255476,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.2607295955487956,0.2617685948967484,0.272265263668132,0.2972893030538116,0.3531431743235581,0.4313636245168418,0.03487060174525623,0.03599256839817927,0.03673096070259761,0.03735793370402207,0.03772734205028931,0.038811147655184966,0.039394653689974905,0.04023738798176832,0.039192979425143146,0.04031669562069392,0.020119667052293993,0.040116170114408045,0.06005591750371835
swedish_baseline_progressivity,12.0,0.4322437637908576,0.35934643335321464,0.09296801753268669,1523745219.3134017,225122462.18124652,1748867681.4946485,1748867681.4946485,0.3099672833634286,0.17048244086135833,0.5180999878815833,0.1367454700590544,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.2607295955487957,0.2618990465663516,0.2727665798929178,0.2975297368133333,0.3546812975853836,0.43224792021869723,0.034367492534471994,0.03615779585243074,0.03684931573882517,0.03678885284999533,0.03715745495395109,0.039246081142526534,0.039555837575384986,0.04042534122165514,0.03971022417083895,0.040245327407063824,0.020167130808008346,0.04004094132273818,0.06010835844485181
swedish_baseline_progressivity,13.0,0.4264755848688506,0.35406348980772623,0.09125374737441211,1526139899.1256204,236347311.6935497,1762487210.81917,1762487210.8191702,0.30977478232880484,0.16998543435572833,0.5149759887197238,0.14238195877929913,0.2607295955487957,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26198124500076625,0.27267494987843277,0.29829836432825446,0.3540613318058985,0.43239462067273937,0.033730407470135275,0.03497795028004004,0.036031949616079556,0.03749619049631538,0.03758922794086519,0.038683237125882196,0.03977486682969823,0.04042181401990823,0.03987272270772872,0.04005571939136585,0.019937959080983416,0.03965304620873362,0.060489543556531765
swedish_baseline_progressivity,14.0,0.4212223952863776,0.3491908162779384,0.08967667306953368,1527572233.0779119,250641527.74541414,1778213760.8233259,1778213760.8233266,0.3102733787568499,0.16967285028035017,0.5099760480637918,0.14964719088839595,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2607295955487956,0.26072959554879566,0.2618949939983414,0.2730935677759847,0.2973156794262027,0.35375144783563633,0.43289379478081996,0.0340785238196786,0.03511737031270461,0.03636843821106196,0.03725107861077043,0.038167829699352764,0.038679768341003,0.04018051115165356,0.040670937124310254,0.04024839369592947,0.0407027691750193,0.020171654148460415,0.0401041138242041,0.06042608792906745
swedish_baseline_progressivity,15.0,0.41657068400333297,0.3448396214726272,0.08830827650683439,1537879446.0964396,263972430.23143938,1801851876.327879,1801851876.3278794,0.3138506610471419,0.17081931518965265,0.5112926568502751,0.1559217802832268,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26200286487008306,0.27324686781599644,0.2980464008098753,0.3549496840602827,0.4345667414924109,0.034009067988333794,0.03466885253434036,0.036289978962937036,0.03692464254883724,0.03818379595278928,0.03806774187500674,0.03909409046120634,0.04029736321903939,0.039863690598627044,0.041428936211343186,0.019992469476931073,0.03987064126021941,0.05995843692146039
swedish_baseline_progressivity,16.0,0.41225555279977644,0.34070742698133133,0.08700516455375058,1536986681.3522058,275824408.55746084,1812811089.9096663,1812811089.9096665,0.31321140542260717,0.1702068478355181,0.5055885050753899,0.1617889390156358,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.2607295955487957,0.2619729557382387,0.27343109332261784,0.29807545530789814,0.35582181890901354,0.43394510892385496,0.03424397288127259,0.0345614403429375,0.03588914825495195,0.03654849670363693,0.03789122698598977,0.03920445926451946,0.03864278139865139,0.04073875428455861,0.03996670036378846,0.04080563969505765,0.01999235210810314,0.03985661712942259,0.05982528369162884
swedish_baseline_progressivity,17.0,0.40841617665446717,0.3369656565040595,0.08584797938923104,1533701959.7471323,293261968.91024524,1826963928.6573775,1826963928.6573775,0.3119934753921958,0.1690779584169133,0.5051863335637479,0.1704675141848686,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26190152266989875,0.27350283641925727,0.2992316419647462,0.35587061438978546,0.43300482489332925,0.03399295269665934,0.03432942786750109,0.03582717954241665,0.036994675917502676,0.037920683448504064,0.039157258881031706,0.03962362320917486,0.04067356856793644,0.04095060501072024,0.0415850060257246,0.020191827796354346,0.04016231599520861,0.060043246015316416
swedish_baseline_progressivity,18.0,0.40491754153818893,0.3335169006566882,0.08478332868390524,1531447692.4957154,306233389.9922358,1837681082.4879513,1837681082.4879508,0.31108129031416376,0.1682556337420409,0.5035058716238823,0.17673543518037757,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.26214231990619435,0.27367172148631713,0.29844420737999006,0.3548348350738481,0.43290683891752724,0.03282787364119868,0.03429275518814587,0.035944629969099334,0.03657270419543566,0.03787797193137489,0.03803955285037872,0.04056826485867637,0.04071583104323485,0.04039100106891122,0.04154244051606368,0.0198813895141105,0.03998685369893968,0.059807118087602626
swedish_baseline_progressivity,19.0,0.40178062396307435,0.33032364460318375,0.08380626164139995,1530827375.6740797,322980742.3603279,1853808118.0344076,1853808118.0344071,0.3119062879460761,0.16798633445087297,0.5028915817541233,0.18476050630998542,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.2607295955487957,0.26184038570928575,0.2727865952433898,0.2975788683259265,0.35473047144836917,0.4335154445981123,0.03320706165220766,0.03367545064718614,0.0359062916478544,0.036293913599702195,0.03821830576065998,0.03814824215595387,0.04005401192130564,0.041528839406805046,0.04115898113311155,0.04196763594582674,0.020032104355290892,0.03999651918668054,0.06025084338354315
swedish_baseline_progressivity,20.0,0.39882480526743147,0.327360044717138,0.08280059688402665,1535429445.5728207,337384511.0312479,1872813956.6040688,1872813956.6040688,0.31413633831288457,0.16863547711057825,0.4980256596509218,0.19116992023073281,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26191807566661185,0.2728664025855933,0.2984427281327263,0.3541201079439571,0.43443310007888736,0.03351448394312338,0.03347572291631435,0.03674929412779542,0.03694309798076323,0.03721979237399181,0.03846009740324136,0.04003642766058219,0.04144225509817328,0.04071208311914655,0.042316618979725856,0.020265039587928788,0.039994742354760644,0.060260093830877444
