transfer_policy,return_preset,tax_scenario,wealth_gini_difference_relative_to_flat,disposable_income_gini_difference_relative_to_flat,top_10_difference_relative_to_flat,top_1_difference_relative_to_flat,shorrocks_difference_relative_to_flat,top_20_persistence_difference_relative_to_flat,seed
lump_sum_only,baseline_return_heterogeneity,swedish_low_progressivity,-0.004417067398293062,-0.013700567950839737,-0.001884640770964896,-4.6797790286878804e-05,-0.0011250000000000426,0.007000000000000006,1
lump_sum_only,baseline_return_heterogeneity,swedish_baseline_progressivity,-0.01157008773147794,-0.039205688590357335,-0.003935456352156308,-6.0172651606488214e-05,-0.006125000000000047,0.01749999999999996,1
lump_sum_only,baseline_return_heterogeneity,swedish_high_progressivity,-0.01825283379749898,-0.06674453680739778,-0.005289559908275954,-7.29836056574118e-05,-0.008874999999999966,0.027999999999999914,1
no_transfers,baseline_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,1
no_transfers,baseline_return_heterogeneity,swedish_low_progressivity,-0.0025005366644856863,-0.014839696997482,0.0002331321258343122,0.0007704709201459825,-0.0011250000000000426,0.010000000000000009,1
no_transfers,baseline_return_heterogeneity,swedish_baseline_progressivity,-0.006746957619359728,-0.045720541914838986,0.0017726258340465262,0.002061444173009283,-0.011500000000000066,0.025500000000000078,1
no_transfers,baseline_return_heterogeneity,swedish_high_progressivity,-0.010806561504150158,-0.08176174028030037,0.0039434004912951015,0.0033123565890322976,-0.02124999999999999,0.03950000000000009,1
universal_plus_safety_floor,baseline_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,1
universal_plus_safety_floor,baseline_return_heterogeneity,swedish_low_progressivity,-0.004292365673460363,-0.013311762768505098,-0.0018675470395242422,-5.157064504686393e-05,-0.000500000000000056,0.006500000000000061,1
universal_plus_safety_floor,baseline_return_heterogeneity,swedish_baseline_progressivity,-0.01089414413172074,-0.037301045591373594,-0.0038260815765663314,-8.219640227709324e-05,-0.0015000000000000568,0.014500000000000068,1
universal_plus_safety_floor,baseline_return_heterogeneity,swedish_high_progressivity,-0.016785886912257908,-0.06259857475305464,-0.005045934860707979,-0.00010732415887888813,-0.002874999999999961,0.027000000000000024,1
lump_sum_only,high_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,1
lump_sum_only,high_return_heterogeneity,swedish_low_progressivity,-0.0035851838341414144,-0.013700567950839737,-0.0018242197502487678,-7.349266054400283e-05,0.0010000000000000009,0.0010000000000000009,1
lump_sum_only,high_return_heterogeneity,swedish_baseline_progressivity,-0.009299595328046806,-0.039205688590357335,-0.004152149292409368,-9.13504222583017e-05,-0.0016249999999999876,0.005499999999999949,1
lump_sum_only,high_return_heterogeneity,swedish_high_progressivity,-0.014554894444302136,-0.06674453680739778,-0.005967634872852012,-8.599444176510262e-05,-0.0020000000000000018,0.010499999999999954,1
no_transfers,high_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,1
no_transfers,high_return_heterogeneity,swedish_low_progressivity,-0.0017316114040926145,-0.014839696997482,4.6193249270798376e-05,0.0008359686062109767,-0.002749999999999919,0.007499999999999951,1
no_transfers,high_return_heterogeneity,swedish_baseline_progressivity,-0.004620504257052405,-0.045720541914838986,0.0010570460267935733,0.002236612159340512,-0.0063749999999999085,0.015499999999999958,1
no_transfers,high_return_heterogeneity,swedish_high_progressivity,-0.007287585691660992,-0.08176174028030037,0.0026898369183148696,0.0036101810450498983,-0.015999999999999903,0.027000000000000024,1
universal_plus_safety_floor,high_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,1
universal_plus_safety_floor,high_return_heterogeneity,swedish_low_progressivity,-0.0034721628559515327,-0.013311762768505098,-0.0018186840300210005,-7.007625301022613e-05,-0.0004999999999999449,0.0020000000000000018,1
universal_plus_safety_floor,high_return_heterogeneity,swedish_baseline_progressivity,-0.008714501131492192,-0.037301045591373594,-0.004065194383808368,-0.00010375488280907341,-0.0021249999999999325,0.006000000000000005,1
universal_plus_safety_floor,high_return_heterogeneity,swedish_high_progressivity,-0.013311976360406597,-0.06259857475305464,-0.00571519214260402,-0.00010990212052333637,-0.0022499999999999742,0.010500000000000065,1
lump_sum_only,low_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,1
lump_sum_only,low_return_heterogeneity,swedish_low_progressivity,-0.004709101843116237,-0.013700567950839737,-0.0017019197469273495,-6.84690083992412e-05,-0.00012500000000004174,0.00649999999999995,1
lump_sum_only,low_return_heterogeneity,swedish_baseline_progressivity,-0.012394951860896786,-0.039205688590357335,-0.003339536682727129,-0.0001394703284211124,-0.0022500000000000853,0.019499999999999962,1
lump_sum_only,low_return_heterogeneity,swedish_high_progressivity,-0.019648482500058018,-0.06674453680739778,-0.004323126114288867,-0.00018590981290886321,-0.013125000000000053,0.03949999999999998,1
no_transfers,low_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,1
no_transfers,low_return_heterogeneity,swedish_low_progressivity,-0.0027696531997245533,-0.014839696997482,0.0003886604279365047,0.0007334669520666776,-0.005875000000000075,0.009499999999999953,1
no_transfers,low_return_heterogeneity,swedish_baseline_progressivity,-0.00751951272991036,-0.045720541914838986,0.0023974871359311867,0.0019706862011222848,-0.02487499999999998,0.03199999999999992,1
no_transfers,low_return_heterogeneity,swedish_high_progressivity,-0.012132077547143849,-0.08176174028030037,0.004918130754263894,0.0031771572246769436,-0.04762500000000003,0.057499999999999996,1
universal_plus_safety_floor,low_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,1
universal_plus_safety_floor,low_return_heterogeneity,swedish_low_progressivity,-0.00458360915262479,-0.013311762768505098,-0.0016714556834687144,-8.301093078580402e-05,-0.0017500000000000293,0.007000000000000006,1
universal_plus_safety_floor,low_return_heterogeneity,swedish_baseline_progressivity,-0.011700296829174173,-0.037301045591373594,-0.003219658469658826,-0.0001689081751265753,-0.007125000000000048,0.02100000000000002,1
universal_plus_safety_floor,low_return_heterogeneity,swedish_high_progressivity,-0.01812442333913422,-0.06259857475305464,-0.004096341915483526,-0.00022680937003127788,-0.013624999999999998,0.03750000000000009,1
lump_sum_only,baseline_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,2
