decomposition,scenario,seed,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
homogeneous_saving_rates,swedish_baseline_progressivity,0,15.0,0.4148132116764516,0.3532896258549956,0.09404395798550584,1477978313.7159297,250914700.91319615,1728893014.6291258,1477978313.7159295,1300374926.26196,110363221.26165894,67240166.19231096,0.9999999999999999,3039.0,0.3039,0.0297,0.3342769538222652,0.1646825886611898,0.5032711775001273,0.15454702259801417,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2620692053256846,0.27185606115942823,0.29654008223753475,0.3517446896420361,0.4327461311317103,0.03377476926327244,0.03593470341871127,0.03669733332819395,0.03725690251234297,0.03756425090859504,0.03935882082747466,0.03887857362568456,0.04100791187535806,0.039860593472590355,0.04073776582412563,0.020282581857034188,0.04009595291854318,0.059480294831099054
homogeneous_saving_rates,swedish_baseline_progressivity,0,16.0,0.4097932554114039,0.3493816197435961,0.09280826022078982,1484861473.6071837,266314606.65806645,1751176080.2652502,1484861473.6071835,1311178206.3794978,110883793.73067118,62799473.49701473,0.9999999999999999,3031.0,0.3031,0.0278,0.33373774912941845,0.16470974114601988,0.5059109667799624,0.16203152531375822,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.26175190177455177,0.2617519017745518,0.2621868797408882,0.2718569553206047,0.2957248902295449,0.3543771640830616,0.4329457832187148,0.03331242376089886,0.03544403604986647,0.0363110605504718,0.03749683765252827,0.03754734117853238,0.039361174973731226,0.0393733177159248,0.04081814935724657,0.04048072671942791,0.04142265269843695,0.020046532364120632,0.0401102212962386,0.06003865494360272
homogeneous_saving_rates,swedish_baseline_progressivity,0,17.0,0.4051653132227755,0.3457345467090958,0.09160083040661367,1488247193.0142114,280180645.73728055,1768427838.7514918,1488247193.0142114,1309205273.7957523,111976439.16686985,67065480.0515891,1.0,3012.0,0.3012,0.03,0.33619970903392415,0.16530486841664427,0.5019042754062655,0.16890390799980087,0.2617519017745519,0.2617519017745519,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2621729218833273,0.27207864251213015,0.29676126207311776,0.35402641649483596,0.43366438117896333,0.032648856954448593,0.03532418208714495,0.03653190532325056,0.03741826451169278,0.03744343388195037,0.03969865393288791,0.0399004697648585,0.041680610839855206,0.04039515670539879,0.041834177649488505,0.020388339603667503,0.04020200417196887,0.059954702840644684
homogeneous_saving_rates,swedish_baseline_progressivity,0,18.0,0.40096310702229365,0.34236979743243806,0.09038787430722944,1481714550.0376413,291655264.82000166,1773369814.8576427,1481714550.0376415,1303993253.5116787,111623358.84085028,66097937.685112655,1.0000000000000002,3042.0,0.3042,0.0296,0.3355056604726514,0.16511401359824962,0.5008933242245905,0.17504775944005702,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2617519017745519,0.26209742087597,0.2712061371745362,0.29468008136607565,0.3520545239258643,0.43391970809911895,0.0327792907170298,0.034827175041750605,0.035779258833033525,0.03676163269840621,0.037571795217788785,0.03935975408816235,0.03955403832952026,0.041300400245296486,0.04080485202710904,0.042059723979794426,0.02000161259711705,0.03987459262296004,0.06030672938957512
homogeneous_saving_rates,swedish_baseline_progressivity,0,19.0,0.3971987354741484,0.33935792991521774,0.08952395144432891,1475794148.661922,307131792.6091933,1782925941.2711158,1475794148.661922,1298504507.8757105,110545869.6622363,66743771.12397503,1.0,3013.0,0.3013,0.0302,0.3346447552764562,0.16486198129841734,0.5023639571068941,0.18288547798507282,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.26213930112069495,0.2711190811188645,0.2930032159674445,0.3494150766866166,0.43372767912476395,0.03170741574442519,0.03496361550437652,0.03613234141009188,0.03662395063787865,0.03785231987699709,0.03942349785864968,0.039804370950142644,0.04165348001498776,0.04055489117393452,0.04172713351632814,0.020003660649242565,0.03992412531927241,0.060005604129983424
homogeneous_saving_rates,swedish_baseline_progressivity,0,20.0,0.3935911477950482,0.33642521412449283,0.08853682785136414,1476589104.153021,319254437.34855884,1795843541.50158,1476589104.153021,1298409493.9102488,109429794.55389786,68749815.68887469,1.0,2994.0,0.2994,0.0308,0.3347387847437906,0.16470898145675017,0.4931624226352518,0.18870761420715162,0.2617519017745518,0.2617519017745519,0.2617519017745518,0.26175190177455177,0.2617519017745519,0.262050294090585,0.27106495864457725,0.29392445146804896,0.3495300786601637,0.4335686353637941,0.031435505052431895,0.034914881666659785,0.035446426768011796,0.03735565283271977,0.038528183379881654,0.03959314920638764,0.04003586784231011,0.0416934461058587,0.04028063862396362,0.041851751182831444,0.020250271307190978,0.039985091862487616,0.05983372328827661
homogeneous_saving_rates,swedish_baseline_progressivity,0,21.0,0.39029468735494244,0.33373271910918406,0.0876950458998142,1483255205.105236,334824478.61326677,1818079683.7185025,1483255205.1052358,1305389952.6649668,108991819.50320503,68873432.9370639,0.9999999999999999,2981.0,0.2981,0.0307,0.3350010284786513,0.16490611833447666,0.49397198054594527,0.1955794660407714,0.2617519017745519,0.2617519017745519,0.2617519017745518,0.2617519017745519,0.2617519017745518,0.2621467559663457,0.2715644575292383,0.2961963707595327,0.34929383379704726,0.4338631381778626,0.0314947791931477,0.034800422593924456,0.03526105438565366,0.03695490926011995,0.03879294714753351,0.03910681753399856,0.040785934829387534,0.041876560448775614,0.04033598612124719,0.04201997933397657,0.020090202991849916,0.04005583311248963,0.060040297789627405
homogeneous_saving_rates,swedish_baseline_progressivity,0,22.0,0.38734728609429414,0.33127576435273126,0.08691292761379597,1490442827.3898163,351274193.8073956,1841717021.1972117,1490442827.3898163,1317571797.051888,109916988.46686798,62954041.871060744,1.0,2988.0,0.2988,0.0281,0.3349751595041328,0.16520278538602562,0.4943663327502481,0.2026667902884674,0.2617519017745519,0.2617519017745519,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2621264707029944,0.27108307332395853,0.2941439238748574,0.3500048794660889,0.43540232293513403,0.03077283199016357,0.03412337666405605,0.03583797442487225,0.03666583541788085,0.038249801952509245,0.03950389434099624,0.0403026999212551,0.04242961794997267,0.040939078939553855,0.04263210377207829,0.020214161650742277,0.039992273151814216,0.06002841082617908
homogeneous_saving_rates,swedish_baseline_progressivity,0,23.0,0.38466817301585565,0.3289610387530933,0.08614900740407684,1487734202.2998886,366289726.5603773,1854023928.8602662,1487734202.2998888,1313468477.6173182,109728146.21346904,64537578.46910189,1.0000000000000002,2979.0,0.2979,0.0286,0.33538446699896074,0.16534777836770398,0.49243277147529674,0.2098027548387891,0.2617519017745518,0.2617519017745518,0.2617519017745519,0.26175190177455177,0.26175190177455177,0.2622462790373676,0.2710851307675372,0.29420636491817903,0.3505344144588096,0.43494483240216647,0.030046203485842582,0.03341444448485623,0.03532526550451921,0.036743096364185594,0.03802918178237984,0.0404583467584295,0.039916130533373145,0.04296137569365943,0.04110303345110119,0.04279804181609755,0.019972322373366064,0.04007490355143795,0.059853171167418666
homogeneous_saving_rates,swedish_baseline_progressivity,0,24.0,0.38236480799074957,0.3269741895727515,0.08557407922008164,1482983038.4974225,383828935.0049376,1866811973.5023603,1482983038.4974222,1303194881.0032015,111661059.38101779,68127098.11320265,0.9999999999999999,3043.0,0.3043,0.031,0.3372221620841773,0.1658218058802705,0.49621166885528223,0.21822199826529312,0.2617519017745518,0.2617519017745519,0.2617519017745518,0.2617519017745518,0.2617519017745519,0.2620863507625564,0.27143103620155096,0.29500492933343514,0.3513876732267087,0.4341147983291927,0.02978208690996707,0.03378203711260007,0.03519526146427656,0.03641476880071585,0.03766149856708917,0.03934039928553555,0.0397050456251612,0.042955098877250124,0.04167010570257746,0.04335186747644803,0.019695115281086962,0.039944724927110424,0.0601203839599223
