return_preset,scenario,seed,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
baseline_return_heterogeneity,swedish_baseline_progressivity,2,1.0,0.5644606158171259,0.46146590329317955,0.13807363402303097,1286491325.7544606,112312136.46078402,1398803462.2152448,1286491325.7544603,1145236412.303846,72638836.13713224,68616077.31348199,0.9999999999999998,2516.0,0.2516,0.0297,0.2674892173226209,0.13773384029631353,0.6199286956307617,0.08022600558330933,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26186941232544875,0.26749610606850877,0.28160259130062054,0.31413467665633715,0.39511283831604654,0.03857797774059667,0.03807006474659574,0.038672608154803,0.03816964243489417,0.03940267940891695,0.03749227253885995,0.037280037886786674,0.037940421286537226,0.036926192719135005,0.03779713466470403,0.020151328131848154,0.03997103525527617,0.05990142513819086
baseline_return_heterogeneity,swedish_baseline_progressivity,2,2.0,0.5462159563860416,0.44933904483662546,0.13352378124767164,1323035976.5935624,119406505.96419716,1442442482.5577593,1323035976.5935621,1170209469.2136464,81151627.79331715,71674879.5865985,0.9999999999999998,2678.0,0.2678,0.0319,0.28361556308611213,0.1439461492643872,0.603184964466756,0.08399006496622181,0.2617973840248987,0.2617973840248987,0.26179738402489866,0.2617973840248987,0.2617973840248987,0.26189674037704774,0.2681699410485834,0.28492842965250814,0.32286740007219955,0.4044624043802139,0.03820296019394808,0.03833021050727785,0.03760041465309404,0.03955542241746472,0.03802968442781855,0.03776472544715337,0.03729699740913461,0.03802095038851015,0.03696286953217888,0.0379646716376775,0.019833643988415334,0.039990611515932716,0.060026048325039896
baseline_return_heterogeneity,swedish_baseline_progressivity,2,3.0,0.5299094771441837,0.43810256779856815,0.1293458740085182,1353022990.0617876,127516849.6395081,1480539839.7012956,1353022990.0617876,1196656796.2575216,86550122.42322044,69816071.38104557,1.0,2768.0,0.2768,0.0303,0.29467189527327275,0.1485923691672153,0.5863900237422304,0.08847140472899723,0.26179738402489866,0.2617973840248987,0.2617973840248987,0.26179738402489866,0.26179738402489866,0.26188030169314447,0.2683711176931234,0.28590516233536695,0.3302587993455793,0.4119375833787176,0.038287015998020785,0.03858569180739711,0.037289405430333815,0.03974762034605686,0.03826596984980072,0.038268013752788904,0.038083620825869406,0.038289463029125455,0.036896994598502646,0.03807675717356425,0.0203654175730783,0.04005240969365711,0.06010951285498998
baseline_return_heterogeneity,swedish_baseline_progressivity,2,4.0,0.5154545560038957,0.42787011072762154,0.12556370028175645,1375850139.610752,136586450.99745157,1512436590.6082034,1375850139.6107523,1213754800.2451348,92346121.04837087,69749218.31724659,1.0000000000000002,2805.0,0.2805,0.0307,0.3030371867204229,0.151837835181589,0.5769524449634302,0.09347998292639442,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.2617973840248987,0.26179738402489866,0.2619557744771439,0.26890508113902534,0.28687796698039986,0.333287290171587,0.41726530136388856,0.037397814339687585,0.037627900244757366,0.03801894482827855,0.03831300949783307,0.03869710346521393,0.03853732471734693,0.037846231544118966,0.03856053627382122,0.03720978416590506,0.038596882627558164,0.02009922153733958,0.04011678653241186,0.05985059369751366
baseline_return_heterogeneity,swedish_baseline_progressivity,2,5.0,0.5025689256575363,0.4185208877270406,0.12208868327738716,1397003299.1987634,145223174.2883507,1542226473.487114,1397003299.1987636,1229962553.2649825,97023442.59768254,70017303.33609855,1.0000000000000002,2848.0,0.2848,0.0305,0.31085660742402443,0.15493987737117565,0.5710666536203326,0.09813105517172077,0.2617973840248987,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.261987831662805,0.2690881646526413,0.2875454112577333,0.3357392175422395,0.42205911912615524,0.03786935369310341,0.03746402424626837,0.03708310660974499,0.03901552001491128,0.03776848149498595,0.0376056903688455,0.03732798267643587,0.0384675004762592,0.03726039800626059,0.03907488830179883,0.019769196749483405,0.039989524592214304,0.059727483877904414
baseline_return_heterogeneity,swedish_baseline_progressivity,2,6.0,0.4910057561519159,0.40986855290454854,0.11894791464510684,1409358836.759032,154233305.8990075,1563592142.6580398,1409358836.7590318,1234371645.423521,101186079.47282638,73801111.86268428,0.9999999999999998,2933.0,0.2933,0.0328,0.3181312452952214,0.15758111909125527,0.5575796139362035,0.10338248029067107,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26200558945556696,0.2695973741794084,0.28890050883718443,0.3393765727014654,0.4242450982213353,0.03739214253384569,0.037439113401566054,0.0379168537189238,0.03848656036891002,0.03781423763639856,0.038518107108559706,0.03743031235295574,0.039159085051925356,0.03776433652466262,0.03862482931738411,0.02031102956484927,0.039967879298962804,0.059779128537115485
baseline_return_heterogeneity,swedish_baseline_progressivity,2,7.0,0.48061312121478483,0.4018383792371309,0.11590983889419308,1427338923.3947103,163159922.0856517,1590498845.480362,1427338923.3947108,1257769142.0872598,103923837.53618981,65645943.77126149,1.0000000000000004,2995.0,0.2995,0.0294,0.320852526356743,0.1594172683211028,0.5495980466526058,0.10798141100324737,0.26179738402489866,0.26179738402489866,0.2617973840248986,0.26179738402489866,0.2617973840248986,0.26198970610525335,0.26977253715368027,0.2906309030537506,0.3430617164799832,0.4262966432530922,0.036510277214813126,0.037367365642644104,0.03790723948125087,0.038194414958701114,0.03772240183160518,0.03798768791993482,0.038480660006381326,0.03911397927594086,0.03800968021903017,0.03909772892780252,0.01999602948322511,0.04002498146380608,0.06002894818513939
baseline_return_heterogeneity,swedish_baseline_progressivity,2,8.0,0.47113598343208607,0.39430330352572246,0.11287770112779331,1436359984.1562626,172414344.65759912,1608774328.8138614,1436359984.1562624,1269606859.3853388,105253131.93346757,61499992.83745602,0.9999999999999999,2976.0,0.2976,0.0279,0.32106914036988377,0.159758758180937,0.539783387429096,0.1129681748725722,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26203516496600643,0.2704406769485864,0.29125445088726387,0.34396276599592507,0.427135728157156,0.036237660700353884,0.03718384386705113,0.03777993165649095,0.03891972200297594,0.03809598578788641,0.03761885876531654,0.03849382228714674,0.03992528235290112,0.03844108173924928,0.039259559679420644,0.020007003895332314,0.040251052654000065,0.060227189067672535
baseline_return_heterogeneity,swedish_baseline_progressivity,2,9.0,0.46268766641780323,0.3874580043854868,0.11028021966281351,1440444379.4549356,182890940.9576379,1623335320.4125736,1440444379.4549356,1274025061.2094836,105427282.35863382,60992035.8868179,1.0,2994.0,0.2994,0.0274,0.3227552342682767,0.1605934585301545,0.5362776125106656,0.11891159212708685,0.2617973840248987,0.26179738402489866,0.26179738402489866,0.2617973840248987,0.26179738402489866,0.2620087840191889,0.27025392814138305,0.29044780551847055,0.3444450297690173,0.42836440860308167,0.03534407194023456,0.03674656497247184,0.03789874752107142,0.0384482797303754,0.03744276332629783,0.037766852349406674,0.03930333541143292,0.03939794128829517,0.038922989879784896,0.03943735650853216,0.020132605970510756,0.039999814851193985,0.060047548090972507
baseline_return_heterogeneity,swedish_baseline_progressivity,2,10.0,0.45495790835976724,0.3810038314340539,0.10789148791417773,1455183165.7963057,193356147.8681801,1648539313.664486,1455183165.7963057,1287607368.2234368,105590597.8682338,61985199.70463488,1.0,2962.0,0.2962,0.0275,0.32553686036678453,0.1614581877101957,0.5266986272027041,0.12424829924828432,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.2617973840248987,0.2617973840248987,0.2619824245411381,0.27002118687301435,0.2924396432091863,0.3472067700569082,0.4302952331340479,0.03569848584877155,0.03661982239780868,0.0378456244786718,0.03906002428563471,0.03795305085768949,0.03814949597438372,0.03876392004082781,0.03961107662688317,0.03964327446254742,0.03910899985091237,0.020496978666664976,0.04011465982452251,0.060088475208410534
baseline_return_heterogeneity,swedish_baseline_progressivity,2,11.0,0.4480303230116278,0.3751646989183286,0.10568763787838766,1457423146.8656986,204040649.86361104,1661463796.72931,1457423146.8656988,1281507403.6998162,107464728.20981553,68451014.9560669,1.0000000000000002,3050.0,0.305,0.0304,0.33018511870171796,0.16287281010370736,0.5271374435100318,0.13034833796482365,0.26179738402489866,0.2617973840248987,0.26179738402489866,0.2617973840248987,0.2617973840248986,0.26201316275471226,0.2704485095686453,0.2922131867216918,0.34898147152208653,0.4310199507973941,0.035281075231878664,0.03641213135622709,0.03704723398322207,0.038333974642061994,0.037568363556026954,0.03781812757347035,0.03953398747897521,0.039438869957669896,0.03943127417145772,0.03995132038751084,0.019956393200948407,0.04012863029189409,0.06003989194462038
baseline_return_heterogeneity,swedish_baseline_progressivity,2,12.0,0.4417787304721268,0.3697573449997443,0.1035806665456703,1465321354.811563,214945679.77550143,1680267034.5870643,1465321354.811563,1285906553.8911686,108399296.36831646,71015504.55207783,1.0,3024.0,0.3024,0.0316,0.33393005739403225,0.1641774094598656,0.5210655416589114,0.13616570913787618,0.2617973840248987,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26179738402489877,0.261924922597947,0.270170735287859,0.29313841406719054,0.35102974498866285,0.4322834255612287,0.0348722770822007,0.03590034350258861,0.03717626780060728,0.038170353593993796,0.03758155099953308,0.038059427220221036,0.03951215070605818,0.03962619541054068,0.039873972484180654,0.04031919887747089,0.02030352991369197,0.03998437265876691,0.06002300775170971
baseline_return_heterogeneity,swedish_baseline_progressivity,2,13.0,0.4360954375228152,0.36472960063233323,0.10171027996880362,1463957564.2577236,226768138.13954347,1690725702.3972666,1463957564.2577238,1294936616.9815836,108905170.50401938,60115776.77212085,1.0000000000000002,3028.0,0.3028,0.0266,0.32826822391188726,0.1628363099226091,0.5176272704980336,0.14221268891635255,0.26179738402489866,0.2617973840248987,0.26179738402489866,0.2617973840248987,0.2617973840248987,0.26211427670936865,0.27102707548655286,0.2936315601921223,0.3479469245481501,0.43112599609790603,0.03486353946911587,0.036073857842770354,0.037181746875231216,0.037717685918229944,0.03756831623767302,0.03887511422557635,0.039399803802505316,0.03970940672166278,0.04008128868928496,0.04000225198740623,0.01991954929517744,0.040278921615597076,0.06004523257910075
baseline_return_heterogeneity,swedish_baseline_progressivity,2,14.0,0.43096033478530726,0.36014868110810594,0.10001385932819225,1465113014.063566,238505613.0842166,1703618627.1477826,1465113014.063566,1289513582.5122638,108571027.32232705,67028404.228974715,1.0,3009.0,0.3009,0.0303,0.33135773380294076,0.16348492287633398,0.5165708949973091,0.14859188427417816,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.26179738402489866,0.2617973840248987,0.2620667815820264,0.2706031710267704,0.29310477464570694,0.3477760373045428,0.432199380251873,0.034587011895785606,0.03559446545349144,0.03666962483750571,0.03794494213877783,0.03741007151464353,0.039458010909231934,0.03946335512609512,0.03978874427957137,0.03994057346944847,0.0403801837533622,0.019735930608153637,0.040271303022706616,0.06022075703888689
baseline_return_heterogeneity,swedish_baseline_progressivity,2,15.0,0.4263556002131903,0.3559449032030053,0.09847950952030665,1455449713.2841635,251008744.860828,1706458458.1449919,1455449713.284163,1269059727.940914,110883639.60380617,75506345.739443,0.9999999999999997,2997.0,0.2997,0.0335,0.33357042187429164,0.16365174375446578,0.5126517788457783,0.15585550993473132,0.2617973840248986,0.2617973840248987,0.26179738402489866,0.26179738402489866,0.2617973840248987,0.2621700348021633,0.2709009265398928,0.2922813837502079,0.34712943885901965,0.43115874758102385,0.03411977993551909,0.03525246391005466,0.03708784939640682,0.03794570570125509,0.037308063087710265,0.039121896661571766,0.03982632938521776,0.040421451156987274,0.039968055303954024,0.04035270826969178,0.020107671781829137,0.040077764213251016,0.06023724995985853
baseline_return_heterogeneity,swedish_baseline_progressivity,2,16.0,0.422003226564414,0.35191630326502804,0.09685425502526318,1466305197.783169,260951638.7611361,1727256836.5443053,1466305197.783169,1295400257.611517,112803795.45034435,58101144.721307755,1.0,3062.0,0.3062,0.0252,0.329617849979462,0.16351054326451986,0.5064262445668475,0.1601832988109664,0.26179738402489866,0.2617973840248986,0.2617973840248986,0.26179738402489866,0.2617973840248987,0.26217497116776073,0.2712658661570718,0.29413027300587313,0.34881522493450323,0.43153078717117105,0.03363125117386457,0.03584706414784001,0.036321943807093485,0.037179207573609215,0.03758858675668921,0.039048267735763156,0.039806366870884784,0.04008228948453546,0.04015455259170366,0.0407382779857436,0.02003484802314576,0.0400119574820319,0.06000694467183039
