return_preset,scenario,tax_system,transfer_policy,calibrated_rate,first_year_revenue_difference,final_gini,final_pre_tax_labour_income_gini,final_disposable_income_gini,final_capital_income_gini,final_capital_income_share,final_transfer_spending_share,final_means_tested_recipient_count,final_means_tested_recipient_share,final_unemployment_rate,final_top_10_share,final_top_1_share,shorrocks_index,top_20_persistence,seed
high_return_heterogeneity,swedish_baseline_progressivity,swedish,swedish_transfer,0.34175190177455184,7.152557373046875e-07,0.45069854463486725,0.3388846381998927,0.16655562029930815,0.6656460212580104,0.30603067846023774,0.9999999999999999,3047.0,0.3047,0.0304,0.35935097090991286,0.09858257784753344,0.8079999999999999,0.608,0
high_return_heterogeneity,swedish_high_progressivity,swedish,swedish_transfer,0.3133020939398697,-9.5367431640625e-07,0.4460122136350251,0.3388846381998927,0.14144380608941587,0.6635557694274186,0.3059955546645007,1.0,2682.0,0.2682,0.0304,0.35775599958792254,0.09840903247082644,0.807375,0.6125,0
low_return_heterogeneity,flat,flat,swedish_transfer,0.3,0.0,0.3935337876083087,0.3341433057212604,0.2017225365873745,0.40894345460585924,0.2574473336762072,1.0000000000000002,3346.0,0.3346,0.0283,0.31896473191334007,0.08696296621385169,0.696,0.769,1
low_return_heterogeneity,swedish_low_progressivity,swedish,swedish_transfer,0.3327589646122455,-7.152557373046875e-07,0.388944708510391,0.3341433057212604,0.18836897349082804,0.4046914576092344,0.2574466085061664,0.9999999999999998,3272.0,0.3272,0.0283,0.31728097793088367,0.08687976214471267,0.6960000000000001,0.7775,1
low_return_heterogeneity,swedish_baseline_progressivity,swedish,swedish_transfer,0.34342107922159393,0.0,0.3818129724907957,0.3341433057212604,0.16421933411908118,0.39811553766830055,0.2574563537372495,0.9999999999999999,3056.0,0.3056,0.0283,0.3157291071002487,0.0867956296933736,0.6895,0.7905,1
low_return_heterogeneity,swedish_high_progressivity,swedish,swedish_transfer,0.3164182280030343,2.384185791015625e-07,0.3753673227384966,0.3341433057212604,0.13869274999954873,0.39223545195895526,0.2574724113732352,0.9999999999999999,2668.0,0.2668,0.0283,0.3148586672201894,0.08673787633007589,0.684875,0.806,1
baseline_return_heterogeneity,flat,flat,swedish_transfer,0.3,0.0,0.4092196433515294,0.3341433057212604,0.2017225365873745,0.5140094068679615,0.2645304463023526,1.0000000000000002,3346.0,0.3346,0.0283,0.3298175145370673,0.08906709250624731,0.727875,0.7295,1
baseline_return_heterogeneity,swedish_low_progressivity,swedish,swedish_transfer,0.3327589646122455,-7.152557373046875e-07,0.40492208134342134,0.3341433057212604,0.18836897349082804,0.5112963765871781,0.264552688988978,0.9999999999999998,3272.0,0.3272,0.0283,0.32795110641500536,0.08901788923244665,0.728375,0.734,1
baseline_return_heterogeneity,swedish_baseline_progressivity,swedish,swedish_transfer,0.34342107922159393,0.0,0.3983062542600533,0.3341433057212604,0.16421933411908118,0.5071788020700956,0.2645818513576971,0.9999999999999999,3056.0,0.3056,0.0283,0.32598946304445486,0.0889868275823805,0.725625,0.743,1
baseline_return_heterogeneity,swedish_high_progressivity,swedish,swedish_transfer,0.3164182280030343,2.384185791015625e-07,0.39239413986021376,0.3341433057212604,0.13869274999954873,0.5035800525622112,0.26461364976453,0.9999999999999999,2668.0,0.2668,0.0283,0.3247668640702691,0.08896169945884581,0.7255,0.7545,1
