decomposition,scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
no_transfers,flat,17.0,0.4964378127857725,0.3940084867551603,0.10363464193677219,1405789997.461171,237739743.09857172,1643529740.5597427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.33500185142805794,0.33500185142805816,0.5706411159600882,0.14458860154089842,0.3,0.3,0.30000000000000004,0.3,0.29999999999999993,0.30000000000000004,0.3,0.29999999999999993,0.29999999999999993,0.3,0.0343137323470652,0.035094411323739076,0.03588363257708512,0.03583936780388279,0.03841980781041366,0.03869061967273184,0.03858413655339981,0.04107912237343014,0.03913902725254019,0.04126491501444812,0.019725860630751057,0.04001323372416376,0.059743019381852065
no_transfers,flat,18.0,0.4946564517425309,0.3916749322967446,0.10277239422517484,1398912670.0516112,247721866.41847143,1646634536.4700825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304,0.33706836249446104,0.33706836249446104,0.5688195727805072,0.1503736935384186,0.3,0.29999999999999993,0.30000000000000004,0.29999999999999993,0.3,0.3,0.30000000000000004,0.3,0.3,0.3,0.034525683267409346,0.03541876076804442,0.03490508470733018,0.0356219336669998,0.03859677397891987,0.03880648779926891,0.03896124374970572,0.041226753962809656,0.03944239018143227,0.04151837166663493,0.01981296109231939,0.04005186934395992,0.059873256567916325
no_transfers,flat,19.0,0.4930675825736057,0.389494770905177,0.10202065138809562,1398094682.9652526,258167833.30827528,1656262516.2735279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,0.3386876372761256,0.33868763727612516,0.5676409260910125,0.15580152362934246,0.29999999999999993,0.3,0.3,0.30000000000000004,0.3,0.29999999999999993,0.3,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.03449857419361274,0.035044574643683525,0.035641386669075716,0.03596925019851826,0.038040609499953124,0.038849907514002344,0.03914466736288863,0.04083613623934699,0.03980042477237606,0.04137777201636959,0.020067014953545126,0.03988282661025823,0.06000350050140065
no_transfers,flat,20.0,0.4916663110101618,0.3875950178247137,0.10141568171589618,1389405943.908329,270934791.36168146,1660340735.2700105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.3367846842711555,0.3367846842711557,0.5708365540959581,0.16312583643418307,0.3,0.3,0.3,0.3,0.29999999999999993,0.29999999999999993,0.30000000000000004,0.3,0.3,0.29999999999999993,0.033493476838641324,0.035146806435657624,0.03619810024617642,0.03592153226100277,0.037370728543218976,0.03894102142533238,0.039932532179976186,0.04163933962522471,0.0395116224247668,0.041749812977443165,0.019879191313338724,0.04009661430716482,0.06010349926105553
no_transfers,flat,21.0,0.49039903164885446,0.385839276974335,0.10092582700429752,1392427188.267151,281373953.05419165,1673801141.3213427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302,0.33748918325973554,0.33748918325973554,0.5682384797029711,0.16803488746899606,0.29999999999999993,0.29999999999999993,0.30000000000000004,0.3,0.3,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.3,0.30000000000000004,0.03326651953780025,0.035005319704944436,0.035319501027187554,0.03658682394446005,0.03773331378354608,0.03941863646431975,0.03909558604488572,0.04104245146287322,0.03959837166809538,0.041879879044008965,0.02007838247452137,0.03980046185598327,0.060063991348324776
no_transfers,flat,22.0,0.48922132159429244,0.3841918776519479,0.10034082012076698,1389473144.4987378,291124048.152761,1680597192.6514988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0306,0.33701895437217244,0.33701895437217244,0.5668675470177265,0.17315620186109176,0.3,0.29999999999999993,0.3,0.30000000000000004,0.30000000000000004,0.29999999999999993,0.3,0.3,0.3,0.30000000000000004,0.03292350023703915,0.03395950216763984,0.035013579250045834,0.0363249722062426,0.037614496127093215,0.03947000388074427,0.03927797233377412,0.042109302481609316,0.03884290072636641,0.042160249260470094,0.019796206871438862,0.03976960569800623,0.05994052431005219
no_transfers,flat,23.0,0.48824884733308727,0.3828157163571631,0.09998924885883902,1399552160.4801836,307238783.7871822,1706790944.2673657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0291,0.3377330184470049,0.3377330184470053,0.5711527515240011,0.1799456282846373,0.3,0.29999999999999993,0.30000000000000004,0.3,0.3,0.3,0.3,0.30000000000000004,0.3,0.29999999999999993,0.03328588386695319,0.03502213591255338,0.03536483540759309,0.03595979707172859,0.037546665734792393,0.03906504784567147,0.03952449128482443,0.042275116887592674,0.039635083720399596,0.04266609159752523,0.019917990238715752,0.04000519794605927,0.06049532325171473
no_transfers,flat,24.0,0.48724348843728604,0.38140395498858726,0.09955477380454907,1399077975.1012535,316662125.53265,1715740100.6339033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302,0.3397879988150512,0.33978799881505095,0.5668190721562607,0.1845015446227859,0.3,0.3,0.29999999999999993,0.3,0.3,0.3,0.29999999999999993,0.30000000000000004,0.29999999999999993,0.29999999999999993,0.033575884470955164,0.03442696476909935,0.03569970305402571,0.036188606245074535,0.03744955390744232,0.03858356150613349,0.04016389456575801,0.042003909403389585,0.03961959287306587,0.042315771966065015,0.02016643327593347,0.03997658617490042,0.060031715026579606
no_transfers,flat,25.0,0.48645216772290856,0.3802606720089588,0.09919728797287493,1396799095.9390392,331572856.4156021,1728371952.3546412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316,0.33909190554257673,0.33909190554257673,0.5697532797768838,0.19176664071668395,0.3,0.3,0.3,0.30000000000000004,0.3,0.29999999999999993,0.2999999999999999,0.30000000000000004,0.3,0.3,0.032431503784032346,0.03427057221485248,0.03554328078606814,0.03666414251411875,0.03748090738566775,0.039007394064919466,0.039986102965371646,0.04152044571219488,0.04025579828823783,0.04293301248852656,0.019891182125307973,0.04006449042928844,0.06026050274606121
no_transfers,flat,26.0,0.4857517864724723,0.3791483166945725,0.09878907957694162,1392579827.332814,343584704.8082854,1736164532.1410995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337,0.34165633415926644,0.34165633415926644,0.5673983870215651,0.19783399962087359,0.3,0.3,0.3,0.30000000000000004,0.29999999999999993,0.3,0.3,0.30000000000000004,0.3,0.29999999999999993,0.032247750789095926,0.03409790639164931,0.03454421351129621,0.03642497861189145,0.037622611430572606,0.03897749955861515,0.040444496267236646,0.04162374472134176,0.04056610444369295,0.04312715512965703,0.020056930133161857,0.03987119482247122,0.060285598576633265
