scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
flat,20.0,0.40823821159937257,0.3292058839910854,0.08280069216490489,1426577457.8121266,337323879.7668271,1763901337.5789537,1763901337.5789535,0.03352922256135937,0.03376619861771706,0.03631220092722793,0.037421015920291886,0.03767013182246144,0.038784691616919005,0.040217938099933195,0.04076485832062796,0.0399237503921058,0.04247986532421379,0.020265039587928788,0.039994742354760644,0.060260093830877444
flat,21.0,0.40583114309990087,0.3266240908236261,0.0818612442325978,1425085465.8219483,352319273.73396504,1777404739.5559132,1777404739.5559127,0.03245733504821059,0.03319525262211816,0.036170080189752284,0.03678053006118026,0.03792123630857252,0.03862963023561981,0.039595263796465885,0.04130756852881335,0.040345077528992045,0.042309276742098875,0.020008796954907745,0.03988376788861893,0.059842072573688024
flat,22.0,0.40363844831931184,0.324305411163242,0.08100765234399343,1424054941.734283,368494323.0007857,1792549264.7350686,1792549264.7350678,0.032699219764350244,0.032843208002205034,0.035611914103904185,0.03718359634372698,0.03764278440196259,0.03876008682227135,0.03941201880516547,0.04113616869959012,0.04020173159634629,0.04265626456049603,0.020009183233879776,0.03980960189311377,0.0597442252836177
flat,23.0,0.40168572247162126,0.3222077776358475,0.08027939305977112,1427020711.4897406,390265043.80945957,1817285755.2992,1817285755.2991996,0.03240373513975451,0.03246906526242584,0.03705811075381863,0.03697711399644518,0.038395547767229206,0.04023206134887808,0.039659714580521054,0.04168130560275854,0.040117452993719924,0.04325524955158178,0.02035392040987248,0.04032805620748394,0.05998194467795057
flat,24.0,0.3999121403120254,0.3202200474000304,0.07952175535278735,1429001460.18129,405507793.85348046,1834509254.0347703,1834509254.03477,0.03192233198779312,0.03270063606867962,0.03579330307022222,0.03693568180787697,0.03829266231191722,0.0391424586833526,0.040349991017256275,0.04135498019063542,0.040619304413648874,0.04318388027680616,0.02024104110027176,0.03998824810966735,0.06002407746366762
flat,25.0,0.3983724130024666,0.31847662754754574,0.07887944804493616,1425693987.9385223,424972051.3398937,1850666039.2784162,1850666039.2784157,0.031833824295356465,0.03213080103865809,0.03592725823646194,0.036544557501840116,0.037421997901880825,0.039870265114154015,0.04046908824950922,0.04090434481067277,0.040937298565186304,0.04371351286712141,0.0201770281723297,0.040029619561346555,0.05974471661362902
flat,26.0,0.3969581285726753,0.31684784235598856,0.07824154593217203,1426709903.4977555,443021698.0589812,1869731601.5567365,1869731601.5567365,0.0316354101273611,0.03244208006948294,0.03556588817936718,0.03641464603150746,0.03710636441959011,0.03926568072217576,0.04057389636338931,0.041601454162396204,0.040655907277150474,0.0441567121335513,0.020146540078970987,0.03984533033210912,0.06008515575015665
flat,27.0,0.39567711494457414,0.31536646087434317,0.07760565785392652,1427323654.0961075,461881630.8584199,1889205284.9545274,1889205284.9545279,0.031996434037063114,0.0322314675905878,0.036063864787678326,0.03643961918853441,0.037289628585469844,0.03936959862098868,0.0401779975616287,0.040955392204195265,0.04114538397356453,0.04391448147910219,0.019906610829769848,0.0401317281961095,0.059812611960616206
flat,28.0,0.39466690062346865,0.3141057574036367,0.07715371043496498,1430308487.4124522,484857151.4733674,1915165638.8858194,1915165638.8858194,0.030544397897721835,0.03195148952766957,0.03520952461070763,0.03648997279562182,0.037115263248540815,0.039420617790389655,0.04030815304226352,0.04135234857486519,0.04146373325357034,0.04446467327495529,0.01982964419230014,0.03989586193128185,0.05988632026041299
flat,29.0,0.3937533937567408,0.31297886466535696,0.0767181594498395,1423326820.5942993,503779724.7707168,1927106545.3650157,1927106545.3650155,0.030669319267559666,0.03161968110633225,0.035090803078407805,0.036485914387050754,0.03669729871045971,0.039339180347282225,0.04064251637034657,0.04129974365815432,0.04120529332044614,0.04463448604307237,0.019487326489386357,0.039878485870979315,0.06012838523646231
flat,30.0,0.3929679379231579,0.31199354446584904,0.07626087374336629,1425875324.5293832,527511457.704819,1953386782.2342021,1953386782.2342024,0.029974011143618723,0.03287170823466273,0.03452550204191442,0.036628573938042204,0.03685773212966362,0.03965712352700045,0.04070864753116085,0.041433554065609175,0.04153498911187555,0.045210660986483915,0.01994144165863159,0.039968775113777194,0.06007780572108922
swedish,1.0,0.5598643631719302,0.4566634724342805,0.12389742015848261,1337957731.5341568,115024697.3406164,1452982428.874773,1452982428.8747733,0.0383026743207178,0.03784584342272458,0.03810101919210348,0.03810652050385528,0.038040776580262885,0.0377162165375062,0.0379839653383161,0.03920357006464528,0.03809728843543104,0.038217300151834104,0.020221986413946964,0.040177990271560854,0.06023964544530334
swedish,2.0,0.5401892987619574,0.4435614074180638,0.11981450825490556,1384192235.408022,122434668.32450487,1506626903.7325263,1506626903.7325263,0.03769908388574856,0.03819360628833488,0.03737250597922121,0.03710823161437872,0.03839158317948892,0.037843746802139554,0.03818607468332161,0.038409797530633984,0.037707517633315125,0.037981212903385866,0.019721045692608734,0.03996312036339828,0.06016969282668495
